"Title","Features.Handheld?","Features.Max Players","Features.Multiplatform?","Features.Online?","Metadata.Genres","Metadata.Licensed?","Metadata.Publishers","Metadata.Sequel?","Metrics.Review Score","Metrics.Sales","Metrics.Used Price","Release.Console","Release.Rating","Release.Re-release?","Release.Year","Length.All PlayStyles.Average","Length.All PlayStyles.Leisure","Length.All PlayStyles.Median","Length.All PlayStyles.Polled","Length.All PlayStyles.Rushed","Length.Completionists.Average","Length.Completionists.Leisure","Length.Completionists.Median","Length.Completionists.Polled","Length.Completionists.Rushed","Length.Main + Extras.Average","Length.Main + Extras.Leisure","Length.Main + Extras.Median","Length.Main + Extras.Polled","Length.Main + Extras.Rushed","Length.Main Story.Average","Length.Main Story.Leisure","Length.Main Story.Median","Length.Main Story.Polled","Length.Main Story.Rushed"
"Super Mario 64 DS","True","1","True","True","Action","True","Nintendo","True","85","4.69","24.95","Nintendo DS","E","True","2004","22.716666666666665","31.9","24.483333333333334","57","14.3","29.766666666666666","35.03333333333333","30.0","20","22.016666666666666","24.916666666666668","29.966666666666665","25.0","16","18.333333333333332","14.333333333333334","18.316666666666666","14.5","21","9.7"
"Lumines: Puzzle Fusion","True","1","True","True","Strategy","True","Ubisoft","True","89","0.56","14.95","Sony PSP","E","True","2004","10.1","11.016666666666667","10.0","5","9.516666666666667","0.0","0.0","0.0","0","0.0","9.75","9.866666666666667","9.75","2","9.616666666666667","10.333333333333334","11.083333333333334","10.0","3","9.583333333333334"
"WarioWare Touched!","True","2","True","True","Action,Racing / Driving,Sports","True","Nintendo","True","81","0.54","22.95","Nintendo DS","E","True","2004","4.566666666666666","11.566666666666666","2.5","57","2.2666666666666666","10.0","14.1","7.25","16","6.8","3.85","5.666666666666667","3.3333333333333335","11","2.783333333333333","1.9166666666666665","2.9333333333333336","1.8333333333333335","30","1.4333333333333333"
"Hot Shots Golf: Open Tee","True","1","True","True","Sports","True","Sony","True","81","0.49","12.95","Sony PSP","E","True","2004","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0"
"Spider-Man 2","True","1","True","True","Action","True","Activision","True","61","0.45","14.95","Nintendo DS","E","True","2004","13.25","48.38333333333333","10.0","37","7.066666666666666","72.56666666666666","78.86666666666666","72.56666666666666","2","66.28333333333333","12.766666666666667","17.316666666666666","12.5","12","10.483333333333333","8.35","11.083333333333334","8.0","23","5.333333333333333"
"The Urbz: Sims in the City","True","1","True","True","Simulation","True","EA","True","67","0.41","12.95","Nintendo DS","M","True","2004","21.933333333333334","25.5","20.0","7","16.733333333333334","30.033333333333335","30.033333333333335","30.033333333333335","2","30.033333333333335","20.833333333333332","25.2","20.0","3","16.45","15.5","15.75","15.5","2","15.25"
"Ridge Racer","True","1","True","True","Racing / Driving","True","Namco","True","88","0.36","19.95","Sony PSP","E","True","2004","0.8166666666666667","1.05","0.8833333333333333","6","0.5833333333333334","1.25","1.25","1.25","1","1.25","0.8833333333333333","0.9333333333333333","0.8833333333333333","2","0.8333333333333334","0.6166666666666667","0.7833333333333333","0.5333333333333333","3","0.45"
"Metal Gear Ac!d","True","1","True","True","Strategy","True","Konami","True","75","0.34","17.95","Sony PSP","E","True","2004","25.383333333333333","51.65","21.266666666666666","18","19.166666666666668","80.0","80.0","80.0","1","80.0","24.833333333333332","27.483333333333334","25.1","6","21.916666666666668","20.7","23.6","20.783333333333335","11","17.883333333333333"
"Madden NFL 2005","True","1","True","True","Sports","True","EA","True","68","0.25","8.95","Nintendo DS","T","True","2004","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0"
"Pokmon Dash","True","1","True","True","Racing / Driving","True","Nintendo","True","46","0.22","24.95","Nintendo DS","T","True","2004","3.8333333333333335","7.25","1.1833333333333333","4","1.75","12.0","12.0","12.0","1","12.0","0.0","0.0","0.0","0","0.0","1.1166666666666667","1.2","1.0833333333333333","3","1.05"
"Dynasty Warriors","True","1","True","True","Action,Adventure,Role-Playing (RPG)","True","","True","62","0.2","14.95","Sony PSP","E","True","2004","8.883333333333333","18.05","2.0833333333333335","4","3.1166666666666667","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","8.883333333333333","18.05","2.0833333333333335","4","3.1166666666666667"
"Feel the Magic XY/XX","True","1","True","True","Action,Adventure,Racing / Driving,Sports","True","Sega","True","75","0.16","8.95","Nintendo DS","T","True","2004","2.9","3.8","3.0","9","2.3166666666666664","0.0","0.0","0.0","0","0.0","3.1","3.15","3.1","2","3.05","2.85","3.783333333333333","2.9833333333333334","7","2.3"
"Ridge Racer DS","True","1","True","True","Racing / Driving","True","Namco","True","63","0.15","9.95","Nintendo DS","E","True","2004","2.2333333333333334","2.2333333333333334","2.2333333333333334","1","2.2333333333333334","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","2.2333333333333334","2.2333333333333334","2.2333333333333334","1","2.2333333333333334"
"Darkstalkers Chronicle: The Chaos Tower","True","1","True","True","Action","True","Capcom","True","74","0.14","14.95","Sony PSP","E","True","2004","1.6333333333333333","2.4","2.0","7","1.0666666666666667","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","1.6333333333333333","2.4","2.0","7","1.0666666666666667"
"Ape Escape Academy","True","4","True","True","Action,Sports","True","Sony","True","51","0.13","14.95","Sony PSP","E","True","2004","1.8833333333333333","1.8833333333333333","1.8833333333333333","1","1.8833333333333333","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","1.8833333333333333","1.8833333333333333","1.8833333333333333","1","1.8833333333333333"
"Polarium","True","1","True","True","Strategy","True","Nintendo","True","73","0.12","8.95","Nintendo DS","E","True","2004","6.733333333333333","9.183333333333334","6.0","5","5.266666666666667","12.0","12.0","12.0","1","12.0","0.0","0.0","0.0","0","0.0","5.416666666666667","5.783333333333333","5.75","4","4.866666666666667"
"Asphalt: Urban GT","True","1","True","True","Racing / Driving,Simulation","True","Ubisoft","True","60","0.11","14.95","Nintendo DS","E","True","2004","12.4","13.7","12.4","2","11.1","9.816666666666666","9.816666666666666","9.816666666666666","1","9.816666666666666","0.0","0.0","0.0","0","0.0","15.0","15.0","15.0","1","15.0"
"Zoo Keeper","True","1","True","True","Action","True","","True","74","0.1","14.95","Nintendo DS","T","True","2004","7.15","8.9","5.0","5","5.033333333333333","11.75","11.75","11.75","1","11.75","0.0","0.0","0.0","0","0.0","6.0","7.75","5.0","4","4.75"
"Mr. DRILLER: Drill Spirits","True","1","True","True","Action","True","Namco","True","72","0.09","14.95","Nintendo DS","T","True","2004","9.883333333333333","10.983333333333333","9.883333333333333","2","8.766666666666667","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","9.883333333333333","10.983333333333333","9.883333333333333","2","8.766666666666667"
"Sprung","True","1","True","True","Adventure","True","Ubisoft","True","48","0.06","8.95","Nintendo DS","E","True","2004","17.75","17.75","17.75","1","17.75","17.75","17.75","17.75","1","17.75","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0"
"Armored Core: Formula Front - Extreme Battle","True","1","True","True","Action,Strategy","True","","True","66","0.05","16.95","Sony PSP","E","True","2004","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0.0"
"Puyo Pop Fever","True","1","True","True","Action,Strategy","True","Sega","True","76","0.04","19.95","Nintendo DS","E","True","2004","2.5","3.1166666666666667","2.0","3","1.8666666666666667","0.0","0.0","0.0","0","0.0","4.0","4.0","4.0","1","4.0","1.75","1.8666666666666667","1.75","2","1.6166666666666667"
"Mario Kart DS","True","1","True","True","Racing / Driving","True","Nintendo","True","91","9.99","29.95","Nintendo DS","E","True","2005","10.416666666666666","22.366666666666667","9.083333333333334","91","5.616666666666667","16.383333333333333","25.333333333333332","15.0","32","10.333333333333334","10.716666666666667","15.166666666666666","10.0","24","7.8","4.783333333333333","7.366666666666666","4.5","35","3.066666666666667"
"Nintendogs","True","1","True","True","Simulation","True","Nintendo","True","83","9.72","26.95","Nintendo DS","E","True","2005","39.38333333333333","66.83333333333333","27.983333333333334","9","22.833333333333332","100.0","100.0","100.0","1","100.0","43.35","49.016666666666666","43.35","2","37.666666666666664","27.966666666666665","46.81666666666667","22.15","6","18.533333333333335"
"Brain Age: Train Your Brain in Minutes a Day!","True","1","True","True","Action","True","Nintendo","True","77","5.07","17.95","Nintendo DS","M","True","2005","0.95","1.4833333333333334","1.0","10","0.6333333333333333","1.0","1.0","1.0","2","1.0","0.9333333333333333","0.9666666666666667","0.9333333333333333","2","0.9","0.9333333333333333","1.4833333333333334","1.0","6","0.6333333333333333"
"Brain Agey: More Training in Minutes a Day!","True","1","True","True","Action","True","Nintendo","True","77","3.65","17.95","Nintendo DS","E","True","2005","13.25","27.05","15.0","7","7.466666666666667","1.0","1.0","1.0","1","1.0","23.333333333333332","29.583333333333332","15.0","3","17.083333333333332","7.266666666666667","12.066666666666666","1.0","3","2.4833333333333334"
"Grand Theft Auto: Liberty City Stories","True","1","True","True","Action,Racing / Driving","True","Capcom,Rockstar","True","88","2.97","17.95","Sony PSP","E","True","2005","20.266666666666666","44.8","14.966666666666667","60","12.333333333333334","46.666666666666664","59.46666666666667","47.233333333333334","7","33.2","26.55","39.13333333333333","20.0","11","18.633333333333333","14.216666666666667","21.9","13.85","42","10.533333333333333"
